kpi_name,full_date,value,value_type,year,week_number,mine_name,department_name,reporting_date_id,department_id,mine_id
Drill Metres,2024-09-01,2993.700000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Drill Metres,2024-08-26,2232.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Drill Metres,2024-08-27,2232.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Drill Metres,2024-08-28,2232.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Drill Metres,2024-08-29,2232.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Drill Metres,2024-08-30,2232.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Drill Metres,2024-08-31,2232.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Drill Metres,2024-09-01,2232.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Powder Factor,2024-08-26,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Powder Factor,2024-08-27,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Powder Factor,2024-08-28,0.690000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Powder Factor,2024-08-29,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Powder Factor,2024-08-30,0.810000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Powder Factor,2024-08-31,0.930000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Powder Factor,2024-09-01,0.850000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Powder Factor,2024-08-26,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Powder Factor,2024-08-27,0.700000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Powder Factor,2024-08-28,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Powder Factor,2024-08-29,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Powder Factor,2024-08-30,0.800000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Powder Factor,2024-08-31,0.900000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Powder Factor,2024-09-01,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Diesel Consumed (Mining OP),2024-08-26,38116.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Diesel Dosage (Mining OP),2024-08-26,0.686762,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Diesel Consumed (Mining OP),2024-08-27,49553.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Diesel Dosage (Mining OP),2024-08-27,0.891963,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Diesel Consumed (Mining OP),2024-08-28,51063.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Diesel Dosage (Mining OP),2024-08-28,1.163829,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Diesel Dosage (Mining OP),2024-08-29,0.957648,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Diesel Consumed (Mining OP),2024-08-29,47530.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Diesel Dosage (Mining OP),2024-08-30,0.487294,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Diesel Consumed (Mining OP),2024-08-30,25887.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Diesel Consumed (Mining OP),2024-08-31,38239.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Diesel Dosage (Mining OP),2024-08-31,0.706442,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Diesel Dosage (Mining OP),2024-09-01,0.977784,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Diesel Consumed (Mining OP),2024-09-01,56204.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Diesel Consumed (Mining OP),2024-08-26,60369.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Diesel Dosage (Mining OP),2024-08-26,1.300019,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Diesel Dosage (Mining OP),2024-08-27,1.300011,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Diesel Consumed (Mining OP),2024-08-27,58884.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Diesel Consumed (Mining OP),2024-08-28,55764.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Diesel Dosage (Mining OP),2024-08-28,1.300012,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Diesel Consumed (Mining OP),2024-08-29,60912.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Diesel Dosage (Mining OP),2024-08-29,1.300011,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Diesel Dosage (Mining OP),2024-08-30,1.300000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Diesel Consumed (Mining OP),2024-08-30,55250.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Diesel Consumed (Mining OP),2024-08-31,57714.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Diesel Dosage (Mining OP),2024-08-31,1.300011,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Diesel Consumed (Mining OP),2024-09-01,62784.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Diesel Dosage (Mining OP),2024-09-01,1.299983,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Compliance To Plan – Ore Tonnes,2024-08-26,100.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Compliance To Plan – Ore Tonnes,2024-08-27,100.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Compliance To Plan – Ore Tonnes,2024-08-28,100.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Compliance To Plan – Ore Tonnes,2024-08-29,85.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Compliance To Plan – Ore Tonnes,2024-08-30,80.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Compliance To Plan – Ore Tonnes,2024-08-31,75.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Compliance To Plan – Ore Tonnes,2024-09-01,75.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Compliance To Plan – Ore Tonnes,2024-08-26,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Compliance To Plan – Ore Tonnes,2024-08-27,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Compliance To Plan – Ore Tonnes,2024-08-28,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Compliance To Plan – Ore Tonnes,2024-08-29,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Compliance To Plan – Ore Tonnes,2024-08-30,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Compliance To Plan – Ore Tonnes,2024-08-31,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Compliance To Plan – Ore Tonnes,2024-09-01,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
Compliance To Plan – Waste Tonnes,2024-08-26,95.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Compliance To Plan – Waste Tonnes,2024-08-27,97.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Compliance To Plan – Waste Tonnes,2024-08-28,84.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Compliance To Plan – Waste Tonnes,2024-08-29,73.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Compliance To Plan – Waste Tonnes,2024-08-30,96.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Compliance To Plan – Waste Tonnes,2024-08-31,96.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Compliance To Plan – Waste Tonnes,2024-09-01,93.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Compliance To Plan – Waste Tonnes,2024-08-26,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Compliance To Plan – Waste Tonnes,2024-08-27,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Compliance To Plan – Waste Tonnes,2024-08-28,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Compliance To Plan – Waste Tonnes,2024-08-29,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Compliance To Plan – Waste Tonnes,2024-08-30,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Compliance To Plan – Waste Tonnes,2024-08-31,90.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
